Student,-4.725445928091518866e+00
Fisher,-2.902110890759098893e+00
Fisher,-2.902110890759098893e+00
Mutual Information,-2.214736698579472307e+00
Mutual Information,-2.214736698579472307e+00
Fisher,-1.834018097859413832e+00
Fisher,-1.834018097859413832e+00
Fisher,-1.834018097859413832e+00
Fisher,-1.834018097859413832e+00
Fisher,-1.834018097859413832e+00
Fisher,-1.834018097859413832e+00
Fisher,-1.834018097859413832e+00
Fisher,-1.834018097859413832e+00
Fisher,-1.834018097859413832e+00
Fisher,-1.834018097859413832e+00
Fisher,-1.834018097859413832e+00
Fisher,-1.834018097859413832e+00
Fisher,-1.834018097859413832e+00
Fisher,-1.834018097859413832e+00
Fisher,-1.834018097859413832e+00
Fisher,-1.760632532909810255e+00
Student,-1.619794855967549019e+00
Student,-1.619794855967549019e+00
Student,-1.619794855967549019e+00
Student,-1.619794855967549019e+00
Student,-1.619794855967549019e+00
Student,-1.619794855967549019e+00
Student,-1.619794855967549019e+00
Student,-1.619794855967549019e+00
Student,-1.619794855967549019e+00
